ID,Page,Category,Crop,Issue_Type,Specific_Name,Pathogen/Pest/Nutrient_Type,Symptoms,Diagnostic_Steps,Recommendations,Image_Path,Source_Label,Nearby_Text
11,34,pest,Rice,pest,Tungro,Virus,"ting Insect frass can appear like fungal fruiting bodies but will appear both within and outside the leaf spot. Phil Taylor, CABI es of the leaf (left) or some artefact like insect frass (right) O",,,images/page34_image1.png,page34_image1,"ting Insect frass can appear like fungal fruiting bodies but will appear both within and outside the leaf spot. Phil Taylor, CABI es of the leaf (left) or some artefact like insect frass (right) O"
12,34,pest,Rice,pest,Tungro,Virus,"that could be mistaken for those of the disease-causing pathogen. W the younger lesions. Phil Taylor, CABI Phil Tay What appeared to be fungal fruiting bodies (left) were removed by w were insect fra",,,images/page34_image1.png,page34_image1,"that could be mistaken for those of the disease-causing pathogen. W the younger lesions. Phil Taylor, CABI Phil Tay What appeared to be fungal fruiting bodies (left) were removed by w were insect fra"
13,37,pest,Maize,pest,Northern corn leaf blight,Fungus,SYMPTOM INSEC Leaf spot YES N when Insect feeding can produce damage that looks like bacterial or fungal infection. This may be due to the physical action of feeding or due to toxins injected into ,SYMPTOM INSEC Leaf spot YES N when Insect feeding can produce damage that looks like bacterial or fungal infection. This may be due to the physical ac,,images/page37_image1.png,page37_image1,SYMPTOM INSEC Leaf spot YES N when Insect feeding can produce damage that looks like bacterial or fungal infection. This may be due to the physical action of feeding or due to toxins injected into 
14,37,pest,Maize,pest,coconut plant bug,coconut plant bug,"Some sucking insects inject a toxin 
when they feed that can cause necrotic or yellow spotting",,,images/page37_image1.png,page37_image1,"INSECTS YES Not common. Some sucking insects inject a toxin when they feed that can cause necrotic or yellow spotting. or eding ao. Coconut plant bug damage on cashew. Robert Reeder, CABI"
15,44,pest,Maize,pest,and thrips,and thrips,SYMPTOM MITE Mosaic (NO) can p The su to viru Cassa Robert The superficial feeding by mites and thrips can resemble viral symp sucked out and this creates a silvery appearance in some cases. Th mosa,SYMPTOM MITE Mosaic (NO) can p The su to viru Cassa Robert The superficial feeding by mites and thrips can resemble viral symp sucked out and this cre,,images/page44_image1.png,page44_image1,SYMPTOM MITE Mosaic (NO) can p The su to viru Cassa Robert The superficial feeding by mites and thrips can resemble viral symp sucked out and this creates a silvery appearance in some cases. Th mosa
16,46,pest,Sorghum,pest,Sorghum leaf blight,Fungus,"SYMPTOM
MITE
Yellowing of leaves
YES C
A | Yellowing of palm 
the trees to go into decline and die | Yellowing and decline associated with p","SYMPTOM MITE Yellowing of leaves YES C A. Elizabeth Johnson, CABI B. Phil Male and female palm mites (A). Yellowing of palm the trees to go into decli",,images/page46_image1.png,page46_image1,"SYMPTOM MITE Yellowing of leaves YES C A. Elizabeth Johnson, CABI B. Phil Male and female palm mites (A). Yellowing of palm the trees to go into decline and die. The numbers of mature tree. Yellowi"
17,46,pest,Sorghum,pest,Sorghum leaf blight,Fungus,"MITES YES Common. Low populations of mites can c B. Phil Taylor, CABI C. Eliza llowing of palm leaflet associated with palm mite (B). The mit The numbers of mites may be relatively low but will do se",,,images/page46_image1.png,page46_image1,"MITES YES Common. Low populations of mites can c B. Phil Taylor, CABI C. Eliza llowing of palm leaflet associated with palm mite (B). The mit The numbers of mites may be relatively low but will do se"
18,46,pest,Sorghum,pest,Sorghum leaf blight,Fungus,"of mites can cause many leaves to turn yellow. C. Elizabeth Johnson, CABI mite (B). The mites produce toxic saliva that causes ut will do severe damage and ultimately kill a rees (C).",,,images/page46_image1.png,page46_image1,"of mites can cause many leaves to turn yellow. C. Elizabeth Johnson, CABI mite (B). The mites produce toxic saliva that causes ut will do severe damage and ultimately kill a rees (C)."
19,58,pest,pepper,pest,Unknown issue,Unknown,"SYMPTOM NEMA Galls YES V as gen Nematode galls on roots of capsicum pepper. Phil Taylor, CABI Nitroge Phil Tay Roots are the only place where nematodes produce galls. Nematode (in peas and beans) How","SYMPTOM NEMA Galls YES V as gen Nematode galls on roots of capsicum pepper. Phil Taylor, CABI Nitroge Phil Tay Roots are the only place where nematode",,images/page58_image1.png,page58_image1,"SYMPTOM NEMA Galls YES V as gen Nematode galls on roots of capsicum pepper. Phil Taylor, CABI Nitroge Phil Tay Roots are the only place where nematodes produce galls. Nematode (in peas and beans) How"
20,58,pest,Unknown,pest,Unknown issue,Unknown,"NEMATODE YES Very common. Swellings appear on the root, as well as general distortion of root systems. Nitrogen fixing nodules on clover roots. Not nematode galls. Phil Taylor, CABI alls. Nematode ga",,,images/page58_image2.png,page58_image2,"NEMATODE YES Very common. Swellings appear on the root, as well as general distortion of root systems. Nitrogen fixing nodules on clover roots. Not nematode galls. Phil Taylor, CABI alls. Nematode ga"
21,59,pest,Unknown,pest,Unknown issue,Unknown,"SYMPTOM MITES Galls YES V Eduardo E. Trujillo, Flickr Tim Ha Many different types of insect and mite can cause plants to produce cells to multiply so that a good habitat is produced for the adults or","SYMPTOM MITES Galls YES V Eduardo E. Trujillo, Flickr Tim Ha Many different types of insect and mite can cause plants to produce cells to multiply so ",,images/page59_image1.png,page59_image1,"SYMPTOM MITES Galls YES V Eduardo E. Trujillo, Flickr Tim Ha Many different types of insect and mite can cause plants to produce cells to multiply so that a good habitat is produced for the adults or"
22,59,pest,Unknown,pest,Unknown issue,Unknown,"insect or a mite is smooth and appears structured whereas the galls and have a rough surface. Contrast these galls (above) with those produced by microorganism and indeterminate. Phil Taylor, CABI Ph",,,images/page59_image3.png,page59_image3,"insect or a mite is smooth and appears structured whereas the galls and have a rough surface. Contrast these galls (above) with those produced by microorganism and indeterminate. Phil Taylor, CABI Ph"
23,105,pest,Unknown,pest,Unknown issue,Unknown,centre outwards. Sometimes the regions are no yellow and green fade into each other. Flecking from insect or mite feeding) can produce symp a mosaic but are generally not considerd such surface layer,,,images/page105_image2.png,page105_image2,centre outwards. Sometimes the regions are no yellow and green fade into each other. Flecking from insect or mite feeding) can produce symp a mosaic but are generally not considerd such surface layer
24,108,pest,Unknown,pest,Unknown issue,Unknown,om as you are not only able to see the m is present in such numbers that it is visible e growth is a problem and can be a secondary se. It is all on the leaf rather than in the leaf is possible to,,,images/page108_image3.png,page108_image3,om as you are not only able to see the m is present in such numbers that it is visible e growth is a problem and can be a secondary se. It is all on the leaf rather than in the leaf is possible to
25,108,pest,Unknown,pest,Unknown issue,Unknown,"n with insect attack. This is sooty mould growing on the sugar excreted by insects on the surface of the sapodilla. d.org Phil Taylor, CABI nd This reddish surface growth can be wiped from the u",,,images/page108_image6.png,page108_image6,"n with insect attack. This is sooty mould growing on the sugar excreted by insects on the surface of the sapodilla. d.org Phil Taylor, CABI nd This reddish surface growth can be wiped from the u"
26,110,pest,Unknown,pest,Unknown issue,Unknown,"BORE HOLES (STEM/FRUIT) The e surro produ Insect bore hole in banana stem. Insect Julien Lamontagne-Godwin, CABI Eric Bo",,,images/page110_image1.png,page110_image1,"BORE HOLES (STEM/FRUIT) The e surro produ Insect bore hole in banana stem. Insect Julien Lamontagne-Godwin, CABI Eric Bo"
27,110,pest,Unknown,pest,Unknown issue,Unknown,"The entry or exit hole of an insect pest, sometimes surrounded by frass. It is often the laval stages that produce the bore hole, but it can be the adults too. Insect bore hole in avocado. Eric Boa",,,images/page110_image2.png,page110_image2,"The entry or exit hole of an insect pest, sometimes surrounded by frass. It is often the laval stages that produce the bore hole, but it can be the adults too. Insect bore hole in avocado. Eric Boa"
28,110,pest,tomato,pest,Unknown issue,Unknown,"Insect bore hole in banana stem. Insect Julien Lamontagne-Godwin, CABI Eric Bo Insect bore hole in tomato. Maize second Julien Lamontagne-Godwin, CABI Mattthe",,,images/page110_image3.png,page110_image3,"Insect bore hole in banana stem. Insect Julien Lamontagne-Godwin, CABI Eric Bo Insect bore hole in tomato. Maize second Julien Lamontagne-Godwin, CABI Mattthe"
29,110,pest,Unknown,pest,Unknown issue,Unknown,"Insect bore hole in avocado. Eric Boa, CABI Maize shoot borer and its bore hole damage, with associated secondary rot and scattered frass. Mattthew Cock, CABI",,,images/page110_image4.png,page110_image4,"Insect bore hole in avocado. Eric Boa, CABI Maize shoot borer and its bore hole damage, with associated secondary rot and scattered frass. Mattthew Cock, CABI"
30,111,pest,Unknown,pest,Unknown issue,Unknown,"Galls on roots, the roots are swollen and misshapen. Galls o fashio Eric Boa, CABI Phil Tay Galls on the underside of tree leaves. Gall on insect Phil Taylor, CABI Whitne",,,images/page111_image3.png,page111_image3,"Galls on roots, the roots are swollen and misshapen. Galls o fashio Eric Boa, CABI Phil Tay Galls on the underside of tree leaves. Gall on insect Phil Taylor, CABI Whitne"
31,111,pest,Unknown,pest,Unknown issue,Unknown,"Galls on woody twigs. These galls are growing in a disordered fashion and are not determinate. Phil Taylor, CABI Gall on buffalo gourd stem which has been cut open to reveal the insect larva inside",,,images/page111_image4.png,page111_image4,"Galls on woody twigs. These galls are growing in a disordered fashion and are not determinate. Phil Taylor, CABI Gall on buffalo gourd stem which has been cut open to reveal the insect larva inside"
32,111,pest,Unknown,pest,Unknown issue,Unknown,"Galls on the underside of tree leaves. Gall on insect Phil Taylor, CABI Whitne Insect galls on oak. Note that they are all precisely the same size. Specta Robert Reeder, CABI Robert",,,images/page111_image5.png,page111_image5,"Galls on the underside of tree leaves. Gall on insect Phil Taylor, CABI Whitne Insect galls on oak. Note that they are all precisely the same size. Specta Robert Reeder, CABI Robert"
33,111,pest,Unknown,pest,Unknown issue,Unknown,"Gall on buffalo gourd stem which has been cut open to reveal the insect larva inside. Whitney Cranshaw, Colorado State University, Bugwood.org e size. Spectacular galls on crack willow. Robert Reed",,,images/page111_image6.png,page111_image6,"Gall on buffalo gourd stem which has been cut open to reveal the insect larva inside. Whitney Cranshaw, Colorado State University, Bugwood.org e size. Spectacular galls on crack willow. Robert Reed"
34,118,pest,Unknown,pest,Unknown issue,Unknown,"Plantwise Diagnostic Field Guide A tool to diagnose crop problems and make recommendations for their management Compiled by Phil Taylor Every day, extension workers are bombarded by questions from f","Plantwise Diagnostic Field Guide A tool to diagnose crop problems and make recommendations for their management Compiled by Phil Taylor Every day, extension wor","p problems and make recommendations for their management Compiled by Phil Taylor Every day, extension workers are bombarded by questions from f",images/page118_image1.png,page118_image1,"Plantwise Diagnostic Field Guide A tool to diagnose crop problems and make recommendations for their management Compiled by Phil Taylor Every day, extension workers are bombarded by questions from f"
35,23,disease,Wheat,disease,Septoria leaf blotch,Fungus,"aphs for each mineral and try and spot the pattern, 
ssium shortage show the leaf edge is yellowing and",,,images/page23_image1.png,page23_image1,"aphs for each mineral and try and spot the pattern, ssium shortage show the leaf edge is yellowing and"
36,25,disease,Wheat,disease,"v
fusarium","v
fusarium","SYMPTOM
FUNG
Wilt
YES V
Fusarium wilt on banana",SYMPTOM FUNG Wilt YES V Fusarium wilt on banana. Note the internal discolouration that is a common symptom associated with this pathogen. Vertici Uppe,,images/page25_image1.png,page25_image1,"SYMPTOM FUNG Wilt YES V Fusarium wilt on banana. Note the internal discolouration that is a common symptom associated with this pathogen. Vertici Upper Scot Nelson, University of Hawaii Howard F i l"
37,25,disease,Wheat,disease,usually fusarium,usually fusarium,"hat is 
Verticillium wilt on sunflower | Upper leaves are wilted and the lower ones are dead",,,images/page25_image1.png,page25_image1,FUNGUS YES Very common. Usually Fusarium or Verticillium sp. hat is Verticillium wilt on sunflower. Leaves are severely short of water. Upper leaves are wilted and the lower ones are dead. Howard F.
38,26,disease,bean,disease,"by 
pythium","by 
pythium","SYMPTOM
WATE
Wilt
YES C
phyto
damp
Base of dry bean seedlings having damped off after attack by 
Pythium","SYMPTOM WATE Wilt YES C phyto damp Base of dry bean seedlings having damped off after attack by Pythium. Phytop plant i Howard F. Schwartz, Colorado S",,images/page26_image1.png,page26_image1,"SYMPTOM WATE Wilt YES C phyto damp Base of dry bean seedlings having damped off after attack by Pythium. Phytop plant i Howard F. Schwartz, Colorado State University, Bugwood.org Gerald Bugwoo"
39,26,disease,pepper,disease,"the 
phytophthora","the 
phytophthora","by 
Phytopthora capsici attacking the roots of capsicum pepper, the 
plant is severely wilted due to the damage to the roots | org
Notice 
o the 
Phytophthora katsurae causing yellowing and wilt | Heart rot of 
coconut",,,images/page26_image1.png,page26_image1,"by Phytopthora capsici attacking the roots of capsicum pepper, the plant is severely wilted due to the damage to the roots. Gerald Holmes, California Polytechnic State University at San Luis Obispo,"
40,27,disease,potato,disease,Loose smut,Fungus,"SYMPTOM
BACT
Wilt
YES C
on tom
Ralstonia on potato | This wilt has occurred suddenly as there are 
no symptoms other than the wilt","SYMPTOM BACT Wilt YES C on tom Ralstonia on potato. This wilt has occurred suddenly as there are no symptoms other than the wilt. Interna Phil Taylor,",,images/page27_image1.png,page27_image1,"SYMPTOM BACT Wilt YES C on tom Ralstonia on potato. This wilt has occurred suddenly as there are no symptoms other than the wilt. Interna Phil Taylor, CABI Scot Ne"
41,27,disease,pepper,disease,Loose smut,Fungus,"WILT
LEAF SPOT
WITCHES’ BROOM
CANKER
MOSIAC
LOWING OF LEAVES
BACTERIA
YES Common",,,images/page27_image1.png,page27_image1,"WILT LEAF SPOT WITCHES’ BROOM CANKER MOSIAC LOWING OF LEAVES BACTERIA YES Common. Often seen in Solanaceae, e.g. Ralstonia on tomatoes and cucurbit crops s occurred suddenly as there are t. Interna"
42,27,disease,potato,disease,to pseudomonas,to pseudomonas,"This wilt has occurred suddenly as there are 
no symptoms other than the wilt | Interna
Phil Taylor, CABI
Scot Ne
The papaya has turned yellow and is severely wilted due 
to Pseudomonas solanacearum infection","nly as there are no symptoms other than the wilt. Interna Phil Taylor, CABI Scot Ne The papaya has turned yellow and is severely wilted due to Pseud",,images/page27_image1.png,page27_image1,"Ralstonia on potato. This wilt has occurred suddenly as there are no symptoms other than the wilt. Interna Phil Taylor, CABI Scot Ne The papaya has turned yellow and is severely wilted due to Pseud"
43,27,disease,pepper,disease,Loose smut,Fungus,"Scot Nelson, University of Hawaii
due 
Capsicum pepper with bacterial wilt",,,images/page27_image1.png,page27_image1,"re are Internal discolouration due to Ralstonia on capsicum pepper. Scot Nelson, University of Hawaii due Capsicum pepper with bacterial wilt. Note the complete collapse of the plant in the foregr"
44,29,disease,tomato,disease,Melanosis,Virus,"SYMPTOM
VIRU
Wilt
(NO) 
broad
Don Ferrin, Louisiana State University Agricultural Center, Bugwood | org 
Scot Ne
Notice the reduced size as well as the wilt of this tomato plant (left) 
on fruit (right)","SYMPTOM VIRU Wilt (NO) broad Don Ferrin, Louisiana State University Agricultural Center, Bugwood.org Scot Ne Notice the reduced size as well as the wi",,images/page29_image1.png,page29_image1,"SYMPTOM VIRU Wilt (NO) broad Don Ferrin, Louisiana State University Agricultural Center, Bugwood.org Scot Ne Notice the reduced size as well as the wilt of this tomato plant (left) on fruit (right)"
45,29,disease,tomato,disease,Melanosis,Virus,"VIRUS
(NO) although some viruses of tomato, pineapple and 
broad bean cause wilting | org 
Scot Nelson, University of Hawaii 
mato plant (left) infected with Tomato spotted wilt virus",spotted wilt virus. Symptoms,,images/page29_image1.png,page29_image1,"VIRUS (NO) although some viruses of tomato, pineapple and broad bean cause wilting. d.org Scot Nelson, University of Hawaii mato plant (left) infected with Tomato spotted wilt virus. Symptoms"
46,30,disease,corn,disease,Brown spot,Fungus,"SYMPTOM
INSEC
Wilt
YES C
root fe
unless
European corn borer-induced wilt on 
cotton",SYMPTOM INSEC Wilt YES C root fe unless European corn borer-induced wilt on cotton. Lepido is an a borers proleg a fly la,,images/page30_image1.png,page30_image1,SYMPTOM INSEC Wilt YES C root fe unless European corn borer-induced wilt on cotton. Lepido is an a borers proleg a fly la
47,31,disease,wheat,disease,Bacterial leaf blight,Bacterium,"SYMPTOM
NUTR
Wilt
(NO) b
plants
Wheat
deficie
Dr Prak
SYMPTOM
PHYS
Wilt
YES V",SYMPTOM NUTR Wilt (NO) b plants Wheat deficie Dr Prak SYMPTOM PHYS Wilt YES V,,images/page31_image1.png,page31_image1,SYMPTOM NUTR Wilt (NO) b plants Wheat deficie Dr Prak SYMPTOM PHYS Wilt YES V
48,32,disease,Rice,disease,Leaf blast,Fungus,"SYMPTOM
FUNG
Leaf spot
YES V
of crop
Leaf sp
Yubak D
The leaf spot is a classic symptom of many groups of fungi | The margins of the leaf spot may be a d
(see below) can produce similar symptoms | Leaf spots on grasses often 
i",SYMPTOM FUNG Leaf spot YES V of crop Leaf sp Yubak D The leaf spot is a classic symptom of many groups of fungi. The leaf is g and immediate surroundi,,images/page32_image1.png,page32_image1,SYMPTOM FUNG Leaf spot YES V of crop Leaf sp Yubak D The leaf spot is a classic symptom of many groups of fungi. The leaf is g and immediate surrounding area. The margins of the leaf spot may be a d (
49,32,disease,Rice,disease,Leaf blast,Fungus,ail within a leaf spot (as well as mites and other small pests),,,images/page32_image1.png,page32_image1,( g g ) y uiting bodies are not produced by bacteria or water moulds (although ting bodies are not always present (even in fungal infections) and are h a hand lens. ail within a leaf spot (as well a
50,35,disease,tomato,disease,by phytophthora,by phytophthora,"Leaf spot
YES C
water-
White 
little n
Leaf spot caused by Phytophthora infestans on tomato | Note the 
zone of lighter coloured leaf around the darker necrotic area: this 
is the area where spore production may be taking place",,,images/page35_image1.png,page35_image1,Leaf spot YES C water- White little n Leaf spot caused by Phytophthora infestans on tomato. Note the zone of lighter coloured leaf around the darker necrotic area: this is the area where spore prod
51,35,disease,pepper,disease,by phytophthora,by phytophthora,"e the 
a: this 
Leaf spot caused by Phytophthora capsici on capsicum pepper",,,images/page35_image1.png,page35_image1,"YES Common. Generally rapidly spreading, may have water-soaked appearance and sporulation around edges. White rusts and downy mildews can produce pustules with little necrosis. e the a: this Leaf"
52,36,disease,bean,disease,Northern leaf blight,Fungus,"SYMPTOM
BACT
Leaf spot
YES V
Bacterial infection of cabbage (left) and bean (right)","SYMPTOM BACT Leaf spot YES V Bacterial infection of cabbage (left) and bean (right). Notice how in both ca Howard F. Schwartz, Colorado State Universi",,images/page36_image1.png,page36_image1,"SYMPTOM BACT Leaf spot YES V Bacterial infection of cabbage (left) and bean (right). Notice how in both ca Howard F. Schwartz, Colorado State University, Bugwood.org Bacteria cannot penetrate a leaf i"
53,36,disease,citrus,disease,Northern leaf blight,Fungus,"SYMPTOM
VIRUS
Leaf spot
(NO) a
comm
Citrus ringspot virus – not what would normally be called a true 
leaf spot | org
Spots 
true le
Scot Ne
Viruses can produce a type of leaf spot on some occasions but they are","SYMPTOM VIRUS Leaf spot (NO) a comm Citrus ringspot virus – not what would normally be called a true leaf spot. Stephen M. Garnsey, USDA-ARS, South At",,images/page36_image1.png,page36_image1,"SYMPTOM VIRUS Leaf spot (NO) a comm Citrus ringspot virus – not what would normally be called a true leaf spot. Stephen M. Garnsey, USDA-ARS, South Atlantic Area, Bugwood.org Spots true le Scot Ne "
54,36,disease,tomato,disease,Northern leaf blight,Fungus,"Ringspots are more 
common | a true 
rg
Spots caused by Tomato spotted wilt virus are not considered 
true leaf spots",,,images/page36_image1.png,page36_image1,"VIRUS (NO) although there are exceptions. Ringspots are more common. a true rg Spots caused by Tomato spotted wilt virus are not considered true leaf spots. Scot Nelson, University of Hawaii ons b"
55,38,disease,Maize,disease,Stalk rot,Fungus,"SYMPTOM
NUTR
Leaf spot
YES N
Shorta
sympt
Potassium deficiency in lucerne: the 
marginal yellowing is associated with 
scattered white necrotic spots",SYMPTOM NUTR Leaf spot YES N Shorta sympt Potassium deficiency in lucerne: the marginal yellowing is associated with scattered white necrotic spots. Z,,images/page38_image1.png,page38_image1,SYMPTOM NUTR Leaf spot YES N Shorta sympt Potassium deficiency in lucerne: the marginal yellowing is associated with scattered white necrotic spots. Zinc d on the
56,38,disease,wheat,disease,Stalk rot,Fungus,"Necrotic spots on leaves can
Shortages of potassium, zinc, manganese and c
symptom, if severe | h 
Zinc deficiency in wheat: a pale grey spot 
on the middle of the leaf","nc, manganese and c symptom, if severe. h Zinc deficiency in wheat: a pale grey spot on the middle of t",,images/page38_image1.png,page38_image1,"NUTRIENT DEFICIENCIES YES Not common. Necrotic spots on leaves can Shortages of potassium, zinc, manganese and c symptom, if severe. h Zinc deficiency in wheat: a pale grey spot on the middle of t"
57,38,disease,tomato,disease,Stalk rot,Fungus,"anganese and copper can all lead to this 
y spot
Blossom end rot on tomato: this disorder",,,images/page38_image1.png,page38_image1,s on leaves can indicate nutrient deficiencies. anganese and copper can all lead to this y spot Blossom end rot on tomato: this disorder
58,39,disease,pepper,disease,Gibberella ear rot,Fungus,"SYMPTOM
PHYS
Leaf spot
YES C
lead t
Strong sunlight can cause burnt patches 
on fruit (pepper)",SYMPTOM PHYS Leaf spot YES C lead t Strong sunlight can cause burnt patches on fruit (pepper). Strong on lea,,images/page39_image1.png,page39_image1,SYMPTOM PHYS Leaf spot YES C lead t Strong sunlight can cause burnt patches on fruit (pepper). Strong on lea
59,42,disease,Maize,disease,Nitrogen deficiency,,"SYMPTOM
BACT
Canker
YES C
Phil Taylor, CABI
Phil Ta","SYMPTOM BACT Canker YES C Phil Taylor, CABI Phil Ta",,images/page42_image1.png,page42_image1,"SYMPTOM BACT Canker YES C Phil Taylor, CABI Phil Ta"
60,42,disease,Maize,disease,Nitrogen deficiency,,"Phil Taylor, CABI
Phil Tay
Eric Boa, CABI
Phil Tay
Fungal cankers on ash and Jatropha (top); a bacterial canker on ash (bottom
the damage has healed (bottom right) | Notice how the dead plant material is
of the canker",,,images/page42_image1.png,page42_image1,"Phil Taylor, CABI Phil Tay Eric Boa, CABI Phil Tay Fungal cankers on ash and Jatropha (top); a bacterial canker on ash (bottom the damage has healed (bottom right). Notice how the dead plant material "
61,43,disease,Maize,disease,Herbicide injury,,"VIRUS YES Very common. Scot Nelson, University of Hawaii",,,images/page43_image1.png,page43_image1,"VIRUS YES Very common. Scot Nelson, University of Hawaii"
62,51,disease,tobacco,disease,Unknown issue,Unknown,"org
Howard
If the downy mildew just causes a leaf spot there is little distortion o",SYMPTOM WATE Distortion of leaves YES N shape Leaf distortion by blue mould on tobacco caused by Peronospora tabacina. Plasm R.J. Reynolds Tobacco Com,,images/page51_image2.png,page51_image2,"SYMPTOM WATE Distortion of leaves YES N shape Leaf distortion by blue mould on tobacco caused by Peronospora tabacina. Plasm R.J. Reynolds Tobacco Company Slide Set, Bugwood.org Howard If the downy"
63,52,disease,tomato,disease,Unknown issue,Unknown,"SYMPTOM VIRUS Distortion of leaves YES V Leaf distortion in tomato. Contrast the infected leaf (left) to the healthy leaf (right). The infected one is smaller, twisted and blistered (rugose). The le",SYMPTOM VIRUS Distortion of leaves YES V Leaf distortion in tomato. Contrast the infected leaf (left) to the healthy leaf (right). The infected one is,,images/page52_image1.png,page52_image1,"SYMPTOM VIRUS Distortion of leaves YES V Leaf distortion in tomato. Contrast the infected leaf (left) to the healthy leaf (right). The infected one is smaller, twisted and blistered (rugose). The le"
64,52,disease,lettuce,disease,Unknown issue,Unknown,"VIRUS YES Very common. the The lettuce has severe leaf distortion; in this case the leaf veins are unusually large, distorting the whole appearance of the leaf. od org Gerald Holmes, California Pol",,,images/page52_image2.png,page52_image2,"VIRUS YES Very common. the The lettuce has severe leaf distortion; in this case the leaf veins are unusually large, distorting the whole appearance of the leaf. od org Gerald Holmes, California Pol"
65,55,disease,potato,disease,Unknown issue,Unknown,"SYMPTOM VIRUS Little leaf YES N Potato leaf roll virus: the potato leaves are rolled and severely reduced in size on the infected plant on the right. Eugene E. Nelson, Bugwood.org Ground the ste Kalu",SYMPTOM VIRUS Little leaf YES N Potato leaf roll virus: the potato leaves are rolled and severely reduced in size on the infected plant on the right. ,,images/page55_image1.png,page55_image1,"SYMPTOM VIRUS Little leaf YES N Potato leaf roll virus: the potato leaves are rolled and severely reduced in size on the infected plant on the right. Eugene E. Nelson, Bugwood.org Ground the ste Kalu"
